claim_id,door_damaged,bonnet_damaged,bumper_damaged,dickey_damaged,fender_damaged,light_damaged,windshield_damaged,severity,total_parts_damaged,damage_score,estimated_repair_cost,insurance_payout
CLM000246,0,0,1,0,0,0,0,low,1,1.006,14630.32,4661.13
CLM000247,0,0,1,0,1,0,0,low,2,1.705,26816.36,16082.8
CLM000248,1,0,0,0,1,0,0,low,2,1.729,10842.88,2554.88
CLM000249,1,0,0,0,0,1,0,low,2,1.748,17419.53,0.0
CLM000250,0,0,0,0,1,0,0,medium,1,1.351,18726.62,10129.24
CLM000251,0,1,1,0,1,0,0,low,3,2.263,35113.47,11986.72
CLM000252,0,0,1,1,0,1,0,low,3,2.983,37848.01,23890.24
CLM000253,1,0,0,0,1,1,0,high,3,8.419,85025.82,60817.98
CLM000254,1,0,0,1,0,0,0,low,2,1.989,23389.42,18207.96
CLM000255,0,0,1,0,1,1,1,medium,4,6.167,108416.35,81843.11
CLM000256,0,0,1,1,0,0,0,medium,2,3.691,52020.22,37596.55
CLM000257,0,0,1,0,1,1,0,high,3,7.729,81775.0,50920.05
CLM000258,1,1,0,0,1,1,0,high,4,12.359,188676.82,136665.54
CLM000259,0,0,1,1,0,0,0,low,2,2.507,37165.81,31991.32
CLM000260,1,0,0,0,1,1,0,high,3,8.031,74279.1,53507.56
CLM000261,0,1,1,0,1,1,0,medium,4,6.726,91003.22,58440.79
CLM000262,1,0,1,0,1,0,0,medium,3,3.3,34769.53,27514.98
CLM000263,0,1,1,0,1,1,0,medium,4,6.293,77163.03,66023.62
CLM000264,0,0,1,1,0,1,0,medium,3,5.371,64076.85,34973.24
CLM000265,0,1,1,0,0,1,0,medium,3,3.949,52981.94,48071.17
CLM000266,0,0,1,0,1,1,0,medium,3,3.603,60784.55,44981.62
CLM000267,1,0,0,0,1,0,0,low,2,2.066,17644.26,6675.41
CLM000268,0,0,1,1,0,0,0,high,2,5.599,64116.53,44729.92
CLM000269,0,0,1,0,1,0,0,medium,2,2.072,21855.67,13327.61
CLM000270,0,0,1,0,0,1,0,medium,2,2.397,37090.87,13921.32
CLM000271,0,0,1,1,1,0,0,high,3,5.599,58759.51,20692.26
CLM000272,1,0,0,0,0,1,0,medium,2,2.93,34600.56,25549.94
CLM000273,0,0,0,0,1,0,0,low,1,0.997,15289.66,9686.29
CLM000274,1,1,1,1,1,0,0,medium,5,7.614,102247.6,72709.09
CLM000275,1,0,1,0,1,0,0,low,3,2.936,44938.63,29666.89
CLM000276,1,0,0,0,1,0,0,low,2,2.007,29424.73,22039.98
CLM000277,0,0,1,1,0,1,0,medium,3,4.841,56038.12,48270.82
CLM000278,0,1,0,0,0,1,1,high,3,6.518,118148.16,100222.81
CLM000279,0,1,1,1,0,0,0,medium,3,4.856,56895.89,30396.53
CLM000280,1,0,1,1,0,0,0,low,3,2.397,23885.3,11356.31
CLM000281,1,1,0,0,1,1,0,medium,4,7.173,89438.97,69814.54
CLM000282,1,0,1,0,1,1,0,medium,4,5.979,99442.86,75458.45
CLM000283,0,0,1,0,0,0,0,low,1,0.804,9055.34,3444.52
CLM000284,0,0,1,1,0,1,0,high,3,6.269,64137.34,45516.41
CLM000285,1,1,1,0,1,1,1,high,6,18.264,424420.77,390542.99
CLM000286,0,0,1,1,0,1,0,medium,3,6.011,98833.85,86608.91
CLM000287,1,0,0,0,1,0,0,medium,2,2.246,25398.97,8129.8
CLM000288,0,1,1,0,0,0,1,low,3,2.68,35559.76,23004.64
CLM000289,0,1,1,0,0,1,0,medium,3,3.916,62859.84,54750.89
CLM000290,0,1,1,0,1,1,0,medium,4,5.41,55031.93,36930.35
CLM000291,0,0,1,1,0,0,0,high,2,5.494,64007.94,55196.52
CLM000292,1,0,0,0,1,0,0,medium,2,3.013,41995.06,36154.49
CLM000293,0,1,1,0,0,1,0,medium,3,5.306,57971.09,47699.23
CLM000294,0,0,1,0,0,0,0,medium,1,1.261,17177.0,9063.66
CLM000295,0,1,1,0,1,1,0,high,4,8.595,155603.72,126429.51
CLM000296,0,0,1,1,0,1,0,low,3,2.531,19316.8,13751.02
CLM000297,1,0,0,0,1,0,0,low,2,1.535,21312.08,13838.58
CLM000298,1,1,1,0,1,1,1,high,6,19.932,323752.11,266072.83
CLM000299,1,1,1,0,0,1,1,high,5,17.184,204549.63,156070.75
CLM000300,1,0,0,0,1,0,0,low,2,1.58,21266.03,13439.9
CLM000301,1,1,1,1,0,0,0,high,4,13.995,163794.22,149332.43
CLM000302,1,0,0,0,1,0,0,medium,2,3.177,36416.3,30345.74
CLM000303,1,0,0,0,1,1,0,low,3,2.047,12900.92,1615.08
CLM000304,0,1,1,1,0,1,0,medium,4,6.004,109660.32,79456.14
CLM000305,1,0,0,0,0,0,0,low,1,1.027,12885.99,1721.7
CLM000306,1,0,0,0,0,0,0,low,1,1.333,11298.88,3610.23
CLM000307,1,1,1,0,0,1,1,high,5,11.886,198635.83,163791.24
CLM000308,1,0,1,0,1,0,0,medium,3,4.571,58311.67,35659.75
CLM000309,1,0,0,0,0,0,0,low,1,1.165,11359.65,7350.41
CLM000310,0,1,1,0,1,0,0,medium,3,5.736,60655.84,39508.38
CLM000311,1,0,0,0,1,0,0,medium,2,2.722,33037.45,26294.78
CLM000312,1,1,0,0,0,0,0,low,2,2.124,38984.19,18728.7
CLM000313,0,1,1,0,1,0,0,medium,3,4.466,53218.17,40872.52
CLM000314,1,0,0,1,1,0,0,low,3,2.792,26835.2,17144.87
CLM000315,0,0,0,0,1,0,0,low,1,0.995,17789.28,11094.16
CLM000316,0,1,1,0,1,1,0,high,4,7.986,98128.76,81387.29
CLM000317,0,0,1,0,0,0,0,medium,1,1.428,20768.76,14015.64
CLM000318,0,0,1,1,0,1,0,medium,3,5.433,59564.03,40264.04
CLM000319,1,1,0,0,1,1,0,high,4,9.489,165515.96,113433.07
CLM000320,1,1,0,1,1,1,0,medium,5,8.424,104272.58,73813.43
CLM000321,0,0,1,1,0,1,0,low,3,2.795,39467.44,25464.29
CLM000322,0,1,1,1,1,1,1,high,6,15.854,200670.24,149892.16
CLM000323,0,0,1,0,1,1,0,medium,3,4.834,41024.02,29469.91
CLM000324,1,1,1,1,0,0,0,low,4,3.886,55550.5,49508.85
CLM000325,0,0,1,0,1,0,0,medium,2,3.053,25081.07,11387.56
CLM000326,0,1,1,0,1,0,0,medium,3,4.395,61188.19,33311.93
CLM000327,0,1,1,0,1,1,0,high,4,9.717,102205.06,80949.76
CLM000328,0,1,1,1,0,1,0,high,4,9.9,86585.38,47583.25
CLM000329,1,0,0,0,1,0,0,medium,2,2.656,21769.03,7705.22
CLM000330,0,1,1,1,1,1,0,high,5,15.25,228920.96,155203.05
CLM000331,1,0,0,0,1,1,0,high,3,5.007,46200.15,38685.34
CLM000332,1,0,0,0,0,0,0,low,1,1.008,18796.31,13965.47
CLM000333,1,0,1,0,0,0,0,low,2,2.043,32143.73,24578.68
CLM000334,0,0,0,1,0,1,0,medium,2,3.058,48696.69,33326.68
CLM000335,0,0,0,0,1,0,0,low,1,0.792,10551.09,1106.58
CLM000336,1,0,0,0,0,0,0,low,1,0.937,13213.77,1089.22
CLM000337,0,1,1,0,1,0,0,medium,3,5.561,79424.45,49625.76
CLM000338,1,1,1,0,1,0,0,medium,4,4.645,119473.75,95772.15
CLM000339,0,0,1,0,0,0,0,low,1,1.094,10736.16,4519.57
CLM000340,1,0,0,0,1,0,0,medium,2,3.183,31194.98,24269.58
CLM000341,0,1,1,0,1,0,0,high,3,8.387,144664.95,129976.16
CLM000342,0,1,1,0,1,0,0,medium,3,4.589,66099.56,41733.77
CLM000343,0,1,1,0,1,1,0,medium,4,6.821,82110.12,70348.26
CLM000344,0,1,1,0,1,1,0,medium,4,5.902,68757.85,42943.16
CLM000345,1,1,1,0,1,0,0,high,4,13.419,166719.34,132402.39
CLM000346,1,0,0,0,1,0,0,medium,2,3.864,41465.37,29047.29
CLM000347,1,0,0,0,1,0,0,low,2,1.788,21031.66,5277.42
CLM000348,0,0,1,0,1,0,0,low,2,1.528,12135.2,0.0
CLM000349,1,1,0,0,1,0,0,medium,3,5.338,41966.96,27933.91
CLM000350,0,0,1,0,1,0,0,low,2,1.588,17843.9,3096.47
CLM000351,0,1,1,0,1,0,0,high,3,7.73,69314.72,58903.17
CLM000352,0,1,1,0,1,1,0,medium,4,4.147,57846.59,34502.3
CLM000353,0,1,1,0,1,0,0,medium,3,3.159,50758.83,37525.43
CLM000354,0,0,1,1,0,1,0,low,3,3.345,49446.23,34490.21
CLM000355,1,1,1,1,0,1,0,medium,5,9.303,135162.22,89866.94
CLM000356,1,0,1,0,0,0,0,low,2,1.997,29504.61,22860.55
CLM000357,0,0,1,1,0,1,0,medium,3,4.617,86502.56,70999.9
CLM000358,1,0,0,0,1,0,0,medium,2,3.454,45455.15,30727.0
CLM000359,0,0,1,1,0,0,0,low,2,1.854,20134.28,9714.66
CLM000360,0,1,1,0,0,1,0,medium,3,6.923,95803.7,56896.33
